text,label
Film çok güzeldi, bayıldım!,Pozitif
Hikaye sıkıcıydı, hiç beğenmedim.,Negatif
Film fena değildi, izlenebilir.,Nötr
Oyunculuklar çok başarılıydı.,Pozitif
Senaryo çok zayıftı.,Negatif
Filmde tempo çok düşüktü.,Negatif
Müzikler harikaydı.,Pozitif
Filmden pek bir şey anlamadım.,Nötr
Kamera açıları çok iyiydi.,Pozitif
Film beklediğimden kötüydü.,Negatif
Görsel efektler çok güzeldi.,Pozitif
Diyaloglar doğal ve akıcıydı.,Pozitif
Senaryo tahmin edilebilirdi.,Nötr
Film çok sıkıcıydı.,Negatif
Oyuncular rollerini çok iyi oynadı.,Pozitif
Film bana ilham verdi.,Pozitif
Hikaye çok karmaşıktı, anlamadım.,Negatif
Film sonu beni şaşırttı.,Pozitif
Karakter gelişimleri zayıftı.,Negatif
Filmde komik sahneler vardı.,Pozitif
Senaryo çok orijinaldi.,Pozitif
Film yavaş ilerliyordu.,Negatif
Mekan seçimleri harikaydı.,Pozitif
Film çok karışıktı.,Negatif
Oyuncuların kimyası çok iyiydi.,Pozitif
Filmden sıkıldım.,Negatif
Ses kalitesi kötüydü.,Negatif
Film çok duygusaldı.,Pozitif
Senaryo tutarsızdı.,Negatif
Film sürprizlerle doluydu.,Pozitif
Filmden çok etkilendim.,Pozitif
Konusu klişeydi.,Negatif
Film çok güzeldi, tekrar izlerim.,Pozitif
Hikaye anlamsızdı.,Negatif
Filmin temposu yerindeydi.,Pozitif
Filmin atmosferi çok iyiydi.,Pozitif
Film beni hiç etkilemedi.,Negatif
Karakterler çok yüzeyseldi.,Negatif
Oyunculuklar vasattı.,Negatif
Senaryo beklediğim gibiydi.,Nötr
Film beni güldürdü.,Pozitif
Filmin sonu kötüydü.,Negatif
Film çok eğlenceliydi.,Pozitif
Film tahmin edilebilirdi.,Nötr
Filmde çok aksiyon vardı.,Pozitif
Film çok dramatikti.,Pozitif
Film müzikleri unutulmazdı.,Pozitif
Film biraz sıkıcıydı.,Negatif
Film beklentilerimi karşıladı.,Pozitif
Filmin görselliği çok iyiydi.,Pozitif
Filmin başlangıcı zayıftı.,Negatif
Filmdeki karakterler ilginçti.,Pozitif
Film çok kaliteliydi.,Pozitif
Film çok basitti.,Negatif
Film beni duygulandırdı.,Pozitif
Film çok kötüydü.,Negatif
Film senaryosu iyiydi.,Pozitif
Film çok klasik kaldı.,Negatif
Filmin temposu yüksekti.,Pozitif
Filmdeki mizah başarılıydı.,Pozitif
Filmdeki efektler kalitesizdi.,Negatif
Film çok yorucuydu.,Negatif
Film çok başarılıydı.,Pozitif
Filmden çok keyif aldım.,Pozitif
Film çok karışıktı.,Negatif
Film biraz uzun sürdü.,Negatif
Film beni büyüledi.,Pozitif
Film senaryosu zayıftı.,Negatif
Film çok sıkıcıydı.,Negatif
Film çok iyiydi.,Pozitif
Film çok güzeldi.,Pozitif
Filmde oyunculuklar başarılıydı.,Pozitif
Filmde hikaye eksikti.,Negatif
Film çok orijinaldi.,Pozitif
Film bana göre değildi.,Negatif
Filmde çok güzel sahneler vardı.,Pozitif
Film vasattı.,Negatif
Film çok güzel anlatılmıştı.,Pozitif
Film çok yavaştı.,Negatif
Filmde sevdiğim sahneler vardı.,Pozitif
Film çok kötüydu.,Negatif
Film çok iyiydi.,Pozitif
Filmden hiç zevk almadım.,Negatif
Film çok etkileyiciydi.,Pozitif
Film sıkıcıydı.,Negatif
Filmdeki diyaloglar çok güzeldi.,Pozitif
Film çok dramatikti.,Pozitif
Film çok iyi yapılmıştı.,Pozitif
Filmdeki müzikler çok güzeldi.,Pozitif
Film çok basit bir hikayeye sahipti.,Negatif
Film çok iyiydi.,Pozitif
Film beni etkilemedi.,Negatif
Filmde oyunculuklar çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok yavaş ilerliyordu.,Negatif
Film çok iyiydi.,Pozitif
Film beni şaşırttı.,Pozitif
Film çok kötüydu.,Negatif
Film çok iyiydi.,Pozitif
Film çok sıradandı.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
text,label
"Bugün kendimi çok enerjik hissediyorum.","Pozitif"
"Yarışmada ikinci oldum, gururluyum.","Pozitif"
"Arkadaşlarımla harika vakit geçirdim.","Pozitif"
"Projeyi zamanında bitirebildim, mutluyum.","Pozitif"
"Yeni bir hobi edindim, çok eğleniyorum.","Pozitif"
"Bugün dışarısı çok güneşli ve güzel.","Pozitif"
"Kahvemi içerken kitabımı okuyorum, huzurluyum.","Pozitif"
"Spor yapmaya başladım, formda hissediyorum.","Pozitif"
"İş yerinde terfi aldım, çok sevindim.","Pozitif"
"Bugün çok güzel haberler aldım.","Pozitif"
"Herkese iyi geceler, güzel rüyalar.","Pozitif"
"Dün gece çok iyi uyudum, dinç hissediyorum.","Pozitif"
"Yardımcı olduğum için kendimi iyi hissediyorum.","Pozitif"
"Yeni yemeği çok beğendim, tekrar yapmak isterim.","Pozitif"
"Tatil planları yapıyorum, çok heyecanlıyım.","Pozitif"
"Bu sabah kahvaltı harikaydı.","Pozitif"
"Uzun zamandır görüşmediğim arkadaşımı gördüm, çok mutlu oldum.","Pozitif"
"Bugün moralim çok yüksek.","Pozitif"
"İyi bir film izledim, çok beğendim.","Pozitif"
"Hafta sonu için planlarım hazır.","Pozitif"
"Bugün çok yorgunum ama mutluyum.","Pozitif"
"Yeni işimde çok başarılıyım.","Pozitif"
"Arkadaşlarım beni çok destekliyor.","Pozitif"
"Bugün kendimi çok şanslı hissediyorum.","Pozitif"
"Her şey yolunda gidiyor.","Pozitif"
"Harika bir sürprizle karşılaştım.","Pozitif"
"Sevdiğim insanlarla beraberim, mutluyum.","Pozitif"
"Güne güzel başladım.","Pozitif"
"Her şey istediğim gibi oluyor.","Pozitif"
"Bugün çok keyifliyim.","Pozitif"
"Çok güzel bir müzik dinledim, ruhum şenlendi.","Pozitif"
"Yeni hobim beni çok mutlu ediyor.","Pozitif"
"Bugün kendime vakit ayırdım, rahatladım.","Pozitif"
"Arkadaşlarımla güzel sohbet ettim.","Pozitif"
"Mutlu ve huzurluyum.","Pozitif"
"Başarılarım beni gururlandırıyor.","Pozitif"
"Bugün çok güzel haberler aldım.","Pozitif"
"Yardım ettiğim insanlar bana teşekkür etti.","Pozitif"
"Güzel bir gün geçiriyorum.","Pozitif"
"Yeni kitap okumaya başladım, çok zevkli.","Pozitif"
"Arkadaşımın doğum günü partisindeydim, çok eğlendim.","Pozitif"
"Başarı dolu bir gün geçirdim.","Pozitif"
"Bugün kendimi çok güçlü hissediyorum.","Pozitif"
"Hedeflerime adım adım yaklaşıyorum.","Pozitif"
"Yeni şeyler öğrenmek beni çok mutlu ediyor.","Pozitif"
"Bugün her şey yolunda gitti.","Pozitif"
"Spor salonunda çok iyi çalıştım.","Pozitif"
"Sevdiğim kişi bana güzel sözler söyledi.","Pozitif"
"Çalışmalarım karşılık buluyor.","Pozitif"
"Güzel bir kahve molası verdim.","Pozitif"
"Yardımcı olmak beni mutlu ediyor.","Pozitif"
"Bugün çok güzel duygular yaşadım.","Pozitif"
"Motivasyonum yüksek.","Pozitif"
"Yeni projede çok başarılı oldum.","Pozitif"
"Arkadaşlarımın desteğiyle güçlüyüm.","Pozitif"
"İyi haberler almak harika.","Pozitif"
"Başarılı bir sunum yaptım.","Pozitif"
"Yeni bir hedef belirledim, heyecanlıyım.","Pozitif"
"Bugün kendime iyi baktım.","Pozitif"
"Her şey çok güzel olacak.","Pozitif"
"Sevgi dolu bir gün geçiriyorum.","Pozitif"
"Arkadaşlarımla kahve içtim, çok keyifliydi.","Pozitif"
"Yeni şeyler denemek bana iyi geliyor.","Pozitif"
"Bugün çok mutluyum.","Pozitif"
"Sevdiklerimle birlikteyim.","Pozitif"
"Bugün kendimi çok iyi hissediyorum.","Pozitif"
"Güzel bir müzik dinledim.","Pozitif"
"Bugün pozitif enerjim yüksek.","Pozitif"
"Yeni hedeflere odaklandım.","Pozitif"
"Çalışmalarım olumlu sonuç verdi.","Pozitif"
"Arkadaşlarım bana destek oluyor.","Pozitif"
"Bugün çok güzel anılar biriktirdim.","Pozitif"
"Motivasyonum tam.","Pozitif"
"Başarı dolu bir gün oldu.","Pozitif"
"Güzel haberler aldım.","Pozitif"
"Bugün çok enerji doluyum.","Pozitif"
"İşimde başarılı oldum.","Pozitif"
"Yeni şeyler öğrendim, mutluyum.","Pozitif"
"Arkadaşlarım benimle gurur duyuyor.","Pozitif"
"Güzel bir kitap okudum.","Pozitif"
"Bugün çok keyifliyim.","Pozitif"
"Her şey yolunda.","Pozitif"
"Arkadaşlarımla güzel vakit geçirdim.","Pozitif"
"Çok güzel bir gün oldu.","Pozitif"
"Başarılarımı kutluyorum.","Pozitif"
"Motivasyonum hiç düşmedi.","Pozitif"
"Bugün çok iyi hissediyorum.","Pozitif"
"Yeni bir fırsat yakaladım.","Pozitif"
"Çalışmalarım takdir edildi.","Pozitif"
"Sevdiklerimle birlikte olmak güzel.","Pozitif"
"Güzel haberler bekliyorum.","Pozitif"
"Başarı dolu bir dönem başladı.","Pozitif"
"Bugün kendime güvenim tam.","Pozitif"
"Harika bir gün geçirdim.","Pozitif"
"Motivasyonum oldukça yüksek.","Pozitif"
"Yeni bir başlangıç yaptım.","Pozitif"
"Güzel bir arkadaşlık kurdum.","Pozitif"
"Bugün çok mutluyum.","Pozitif"
"Her şey istediğim gibi gidiyor.","Pozitif"
"Arkadaşlarımla kahvaltı yaptım.","Pozitif"
"Çalışmalarım karşılık buluyor.","Pozitif"
"Başarılarımla gururluyum.","Pozitif"
"Bugün kendimi çok iyi hissediyorum.","Pozitif"
"Yardım ettiğim için mutluyum.","Pozitif"
"Yeni projeler üzerinde çalışıyorum.","Pozitif"
"Motivasyonum yüksek.","Pozitif"
"Arkadaşlarımla eğlendim.","Pozitif"
"Başarılarım beni mutlu ediyor.","Pozitif"
"Bugün çok güzel geçti.","Pozitif"
"Yeni bir hedef belirledim.","Pozitif"
"Çalışmalarım sonuç verdi.","Pozitif"
"Arkadaşlarım destek oluyor.","Pozitif"
"Bugün çok enerji doluyum.","Pozitif"
"İşimde başarılı oldum.","Pozitif"
"Yeni şeyler öğrendim.","Pozitif"
"Arkadaşlarım benimle gurur duyuyor.","Pozitif"
"Güzel bir kitap okudum.","Pozitif"
"Bugün çok keyifliyim.","Pozitif"
"Her şey yolunda.","Pozitif"
"Arkadaşlarımla güzel vakit geçirdim.","Pozitif"
"Çok güzel bir gün oldu.","Pozitif"
"Başarılarımı kutluyorum.","Pozitif"
"Motivasyonum hiç düşmedi.","Pozitif"
"Bugün çok iyi hissediyorum.","Pozitif"
"Yeni bir fırsat yakaladım.","Pozitif"
"Çalışmalarım takdir edildi.","Pozitif"
"Sevdiklerimle birlikte olmak güzel.","Pozitif"
"Güzel haberler bekliyorum.","Pozitif"
"Başarı dolu bir dönem başladı.","Pozitif"
"Bugün kendime güvenim tam.","Pozitif"
"Harika bir gün geçirdim.","Pozitif"
"Motivasyonum oldukça yüksek.","Pozitif"
"Yeni bir başlangıç yaptım.","Pozitif"
"Güzel bir arkadaşlık kurdum.","Pozitif"
"Bugün çok mutluyum.","Pozitif"
"Her şey istediğim gibi gidiyor.","Pozitif"
"Arkadaşlarımla kahvaltı yaptım.","Pozitif"
"Çalışmalarım karşılık buluyor.","Pozitif"
"Başarılarımla gururluyum.","Pozitif"
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
Film çok güzeldi.,Pozitif
Film çok kötüydü.,Negatif
Film çok iyiydi.,Pozitif
Film çok kötüydü.,Negatif
